order_id,amount,profit,quantity,category,sub_category,payment_mode,order_date,customer_name,state,city,year_month,transaction_id,
B-26776,9726,1275,5,Electronics,Electronic Games,UPI,6/27/2023,David Padilla,Florida,Miami,2023-06,B-26776_DavidPadilla_2023-06-27,
B-26776,9726,1275,5,Electronics,Electronic Games,UPI,12/27/2024,Connor Morgan,Illinois,Chicago,2024-12,B-26776_ConnorMorgan_2024-12-27,
B-26776,9726,1275,5,Electronics,Electronic Games,UPI,7/25/2021,Robert Stone,New York,Buffalo,2021-07,B-26776_RobertStone_2021-07-25,
B-26942,1525,185,12,Office Supplies,Pens,Debit Card,5/11/2024,John Fields,Florida,Orlando,2024-05,B-26942_JohnFields_2024-05-11,
B-26942,1525,185,12,Office Supplies,Pens,Debit Card,10/9/2021,Clayton Smith,Florida,Miami,2021-10,B-26942_ClaytonSmith_2021-10-09,
B-26640,883,117,10,Electronics,Laptops,EMI,11/18/2022,Richard Kelley,California,Los Angeles,2022-11,B-26640_RichardKelley_2022-11-18,
B-25890,2516,734,19,Furniture,Chairs,UPI,11/12/2023,Jacqueline Hubbard,New York,New York City,2023-11,B-25890_JacquelineHubbard_2023-11-12,
B-25102,2975,462,14,Office Supplies,Pens,Credit Card,3/23/2020,Jessica Anderson,New York,New York City,2020-03,B-25102_JessicaAnderson_2020-03-23,
B-25426,6851,2812,1,Office Supplies,Markers,Debit Card,5/4/2020,Mary Taylor,Florida,Orlando,2020-05,B-25426_MaryTaylor_2020-05-04,
B-25238,7600,1098,10,Office Supplies,Pens,UPI,11/9/2023,Walter Crawford,Illinois,Springfield,2023-11,B-25238_WalterCrawford_2023-11-09,
B-25051,725,133,6,Office Supplies,Paper,Credit Card,12/30/2024,Lawrence Robinson,New York,Rochester,2024-12,B-25051_LawrenceRobinson_2024-12-30,
B-26510,1629,265,1,Office Supplies,Paper,UPI,2/11/2025,Douglas Pennington,Texas,Dallas,2025-02,B-26510_DouglasPennington_2025-02-11,
B-26510,1629,265,1,Office Supplies,Paper,UPI,1/23/2024,Ricardo Andrews,California,San Diego,2024-01,B-26510_RicardoAndrews_2024-01-23,
B-25104,8971,2971,19,Office Supplies,Binders,Debit Card,11/28/2020,Paul Raymond,California,San Diego,2020-11,B-25104_PaulRaymond_2020-11-28,
B-25553,9380,414,11,Electronics,Phones,UPI,5/30/2024,Karen Johnson,New York,Rochester,2024-05,B-25553_KarenJohnson_2024-05-30,
B-26703,4206,1821,17,Electronics,Electronic Games,EMI,1/23/2022,Juan Erickson,Texas,Austin,2022-01,B-26703_JuanErickson_2022-01-23,
B-26232,5219,1180,20,Office Supplies,Binders,COD,12/17/2021,Alexander Reed,New York,New York City,2021-12,B-26232_AlexanderReed_2021-12-17,
B-26232,5219,1180,20,Office Supplies,Binders,COD,2/3/2023,Jacqueline Harris,California,San Francisco,2023-02,B-26232_JacquelineHarris_2023-02-03,
B-25394,3686,760,20,Office Supplies,Pens,Debit Card,10/30/2022,Tyler Park,California,San Francisco,2022-10,B-25394_TylerPark_2022-10-30,
B-25394,3686,760,20,Office Supplies,Pens,Debit Card,1/15/2022,Richard Wolfe,Ohio,Columbus,2022-01,B-25394_RichardWolfe_2022-01-15,
B-26157,6045,1606,4,Office Supplies,Paper,COD,12/14/2023,Sierra Rios,Florida,Orlando,2023-12,B-26157_SierraRios_2023-12-14,
B-25555,4051,1848,12,Electronics,Phones,Credit Card,7/3/2023,Jessica Richardson,California,San Diego,2023-07,B-25555_JessicaRichardson_2023-07-03,
B-25555,4051,1848,12,Electronics,Phones,Credit Card,5/8/2021,Kimberly Warren,Ohio,Cincinnati,2021-05,B-25555_KimberlyWarren_2021-05-08,
B-26139,3958,630,15,Furniture,Sofas,EMI,10/7/2022,Casey Garcia,Florida,Orlando,2022-10,B-26139_CaseyGarcia_2022-10-07,
B-25032,7784,2937,12,Office Supplies,Markers,UPI,8/6/2024,Denise Hampton,California,San Francisco,2024-08,B-25032_DeniseHampton_2024-08-06,
B-25730,8293,2632,8,Office Supplies,Binders,COD,1/5/2022,Justin Rodriguez,Ohio,Cleveland,2022-01,B-25730_JustinRodriguez_2022-01-05,
B-25730,8293,2632,8,Office Supplies,Binders,COD,10/17/2020,Ms. Emily Baxter,New York,Rochester,2020-10,B-25730_Ms.EmilyBaxter_2020-10-17,
B-25730,8293,2632,8,Office Supplies,Binders,COD,8/21/2023,Austin White,California,Los Angeles,2023-08,B-25730_AustinWhite_2023-08-21,
B-26470,3090,573,6,Furniture,Tables,EMI,12/27/2024,Morgan Montes,California,San Diego,2024-12,B-26470_MorganMontes_2024-12-27,
B-26470,3090,573,6,Furniture,Tables,EMI,6/18/2021,Christine Mosley,Ohio,Cincinnati,2021-06,B-26470_ChristineMosley_2021-06-18,
B-26470,3090,573,6,Furniture,Tables,EMI,5/27/2023,Ashley Rodriguez,Texas,Austin,2023-05,B-26470_AshleyRodriguez_2023-05-27,
B-26470,3090,573,6,Furniture,Tables,EMI,10/12/2021,Elizabeth King,Texas,Dallas,2021-10,B-26470_ElizabethKing_2021-10-12,
B-25988,2463,648,18,Furniture,Tables,EMI,9/19/2022,Connie Holmes,Ohio,Cincinnati,2022-09,B-25988_ConnieHolmes_2022-09-19,
B-25568,7811,1538,12,Furniture,Sofas,COD,3/25/2022,Melissa Peck,Florida,Miami,2022-03,B-25568_MelissaPeck_2022-03-25,
B-26730,6139,451,10,Furniture,Tables,Debit Card,2/26/2022,David Smith,Florida,Orlando,2022-02,B-26730_DavidSmith_2022-02-26,
B-26730,6139,451,10,Furniture,Tables,Debit Card,4/5/2021,Jacqueline Harris,Texas,Houston,2021-04,B-26730_JacquelineHarris_2021-04-05,
B-25372,1016,172,20,Furniture,Tables,Debit Card,11/16/2020,Heather Jenkins,New York,Buffalo,2020-11,B-25372_HeatherJenkins_2020-11-16,
B-26026,953,93,2,Office Supplies,Paper,Debit Card,12/12/2024,Kelsey Castaneda,Ohio,Cleveland,2024-12,B-26026_KelseyCastaneda_2024-12-12,
B-26026,953,93,2,Office Supplies,Paper,Debit Card,4/6/2023,Katherine Harris,California,Los Angeles,2023-04,B-26026_KatherineHarris_2023-04-06,
